"novel ID","author","title","chapters","last updated","check flag","URL","author ID"
"n5966bh","氷純","詰みかけ転生領主の改革（旧：詰みかけ転生領主の奮闘記）","243","2015/04/10","false","http://ncode.syosetu.com/n5966bh/",""
"n9264bj","わい／三嶋与夢","ドラグーン","167","2016/06/04","false","http://ncode.syosetu.com/n9264bj/",""
"n1651cn","あかがね満月","聖女代行、死亡フラグを叩き折ります！","61","2015/06/18","false","http://ncode.syosetu.com/n1651cn/",""
"n5981bn","桂かすが","ニートだけどハロワにいったら異世界につれてかれた","212","2018/11/18 21:00","true","http://ncode.syosetu.com/n5981bn/",""
"n0010bq","涼風","悪役令嬢番外編","16","2014/01/11","false","http://ncode.syosetu.com/n0010bq/",""
"n8321do","ムンムン","せっかくチートを貰って異世界に転移したんだから、好きなように生きてみたい","293","2018/11/16 05:00","true","http://novel18.syosetu.com/n8321do/",""
"n4606p","赤雪トナ","妹可愛さに家を出た","18","2012/07/02","false","http://ncode.syosetu.com/n4606p/",""
"n8802bq","Ｙ．Ａ","八男って、それはないでしょう！　","205","2017/03/2510:00","false","http://ncode.syosetu.com/n8802bq/",""
"n5450cf","佐伯さん","転生したので次こそは幸せな人生を掴んでみせましょう","176","2016/08/26","false","http://ncode.syosetu.com/n5450cf/",""
"n3872bm","小田中慎","プロシア参謀本部〜モルトケの功罪","428","2018/11/15 23:42","true","http://ncode.syosetu.com/n3872bm/",""
"n3406u","渡辺恒彦","理想のヒモ生活","95","2018/06/22 08:00","true","http://ncode.syosetu.com/n3406u/",""
"n1443bp","冬原パトラ","異世界はスマートフォンとともに。","482","2018/11/17 17:16","true","http://ncode.syosetu.com/n1443bp/",""
"n7826bd","いえこけい","リーングラードの学び舎より","366","2018/09/11 22:27","true","http://ncode.syosetu.com/n7826bd/",""
"n7200cw","三木なずな","金の奴隷、銀の奴隷","20","2015/11/03","false","http://ncode.syosetu.com/n7200cw/",""
"n4029bs","ひよこのケーキ","謙虚、堅実をモットーに生きております！","299","2017/10/20 18:39","true","http://ncode.syosetu.com/n4029bs/",""
"n5397be","マシュマロポテト","エマ・カルディア","27","2013/08/31","false","http://ncode.syosetu.com/n5397be/",""
"n7505bx","横塚司","ぼくは異世界で付与魔法と召喚魔法を天秤にかける","250","2016/07/1119:00","false","http://ncode.syosetu.com/n7505bx/",""
"n7891ca","雪だるま","必勝ダンジョン運営方法　相手に合わせる理由がない","519","2016/09/20","false","http://ncode.syosetu.com/n7891ca/",""
"n0447be","わい／三嶋与夢","脇役勇者は光り輝く","54","2015/08/30","false","http://ncode.syosetu.com/n0447be/",""
"n5652v","ウスバー","天啓的異世界転生譚","102","2012/01/18","false","http://ncode.syosetu.com/n5652v/",""
"n2335de","健康","槍使いと、黒猫。","201","2016/09/17","false","http://ncode.syosetu.com/n2335de/",""
"n5864cn","古流望","おかしな転生","160","2017/12/01 12:00","false","http://ncode.syosetu.com/n5864cn/",""
"n9602cp","三木なずな","姫騎士とキャンピングカー","79","2015/12/24","false","http://ncode.syosetu.com/n9602cp/",""
"n6194by","国後要","異世界を開拓してモンスター娘ハーレムを！","25","2014/10/31","false","http://ncode.syosetu.com/n6194by/",""
"n0553bs","鰤／牙","VRMMOをカネの力で無双する","118","2013/11/10","false","http://ncode.syosetu.com/n0553bs/",""
"n6517bw","佐崎一路","リビティウム皇国のブタクサ姫","237","2018/11/12 20:00","true","http://ncode.syosetu.com/n6517bw/",""
"n6426w","笑うヤカン","魔王の始め方","243","2018/04/27 20:00","true","http://novel18.syosetu.com/n6426w/",""
"n1957bp","キムラ","ベジタリアンテレパシスト","8","2013/04/16","false","http://ncode.syosetu.com/n1957bp/",""
"n3267ba","サイトウ","精霊騎士ヴェルナ","5","2012/01/08","false","http://ncode.syosetu.com/n3267ba/",""
"n5084bv","松本保羽","銀河連合日本","110","2016/11/06","false","http://ncode.syosetu.com/n5084bv/",""
"n9511bs","三度笠","男なら一国一城の主を目指さなきゃね","573","2018/11/18 19:00","true","http://ncode.syosetu.com/n9511bs/",""
"n2670bq","霜月緋色（ステロイド使用中）","神さまにチート能力もらって転生したらオークだった","117","2017/01/09 18:00","false","http://ncode.syosetu.com/n2670bq/",""
"n7362cy","チキンさん","回復魔法を得た童貞のチーレム異世界転移記","150","2017/11/19 04:57","false","http://ncode.syosetu.com/n7362cy/",""
"n8390n","クロル","ノーライフ・ライフ","125","2014/12/30","false","http://ncode.syosetu.com/n8390n/",""
"n3039bm","徒然花","誰かこの状況を説明してください","171","2016/09/14","false","http://ncode.syosetu.com/n3039bm/",""
"n9721cz","わい／三嶋与夢","せぶんす","45","2018/08/26 18:00","true","http://ncode.syosetu.com/n9721cz/",""
"n7594ct","坂東太郎","10年ごしの引きニートを辞めて外出したら自宅ごと異世界に転移してた","519","2016/10/2518:00","false","http://ncode.syosetu.com/n7594ct/",""
"n6967ci","三木なずな","ハーレムの家庭に生まれた少女（ほぼチー外伝）","2","2014/10/21","false","http://ncode.syosetu.com/n6967ci/",""
"n4439cs","いろはに","元・悪役令嬢とフライパン","25","2015/06/13","false","http://ncode.syosetu.com/n4439cs/",""
"n1611bg","赤雪トナ","チート薬師の異世界旅（旧題:神様？チート異世界転移で薬師旅）","59","2012/11/08","false","http://ncode.syosetu.com/n1611bg/",""
"n5764bn","タピオカ","先代勇者は隠居したい(仮題)","183","2016/11/1622:00","false","http://ncode.syosetu.com/n5764bn/",""
"n8697cx","ブロッコリーライオン","聖者無双　〜サラリーマン、異世界で生き残るために歩む道〜","327","2016/09/19","false","http://ncode.syosetu.com/n8697cx/",""
"n9463br","Gibson","僕と彼女と実弾兵器（アンティーク）","256","2017/12/03 16:43","true","http://ncode.syosetu.com/n9463br/",""
"n9981by","三国司","北の砦にて","117","2016/11/2013:00","false","http://ncode.syosetu.com/n9981by/",""
"n3102y","星崎崑","ネトオク男の楽しい異世界貿易紀行","164","2016/04/03","false","http://ncode.syosetu.com/n3102y/",""
"n5867cn","いろはに","悪役令嬢の尻拭い","7","2015/02/17","false","http://ncode.syosetu.com/n5867cn/",""
"n3009bk","アネコユサギ","盾の勇者の成り上がり","835","2015/05/28","false","http://ncode.syosetu.com/n3009bk/",""
"n9551ee","風来山","おっさん冒険者ケインの善行","152","2018/11/17 07:55","true","http://ncode.syosetu.com/n9551ee/",""
"n0608dy","九頭七尾","万年Ｄランクの中年冒険者、酔った勢いで伝説の剣を引っこ抜く","198","2018/11/14 19:00","true","http://ncode.syosetu.com/n0608dy/",""
"n1898i","ホー","ウォルテニア戦記【Web投稿版】","198","2018/07/30 16:18","true","http://ncode.syosetu.com/n1898i/",""
"n9392dp","松本保羽","銀河連合日本 The Next Era","34","2018/10/14 06:59","true","http://ncode.syosetu.com/n9392dp/",""
"n5840ci","三木なずな","リアルでレベル上げしたらほぼチートな人生になった","465","2016/01/01","false","http://ncode.syosetu.com/n5840ci/",""
"n5870bn","疎陀陽","フレイム王国興亡記","215","2018/09/09 00:00","true","http://ncode.syosetu.com/n5870bn/",""
"n3902dc","天音のわる","ラスボスの向こう側〜最強の裏ボス＝邪神に転生したけど、１０００年誰も来ないから学園に通うことにした〜","146","2017/01/22 18:00","false","http://ncode.syosetu.com/n3902dc/",""
"n1661bw","鰤／牙","VRMMOをカネの力で無双する　サブアカウント","49","2015/01/01","false","http://ncode.syosetu.com/n1661bw/",""
"n5279bn","津田彷徨","やる気なし英雄譚","238","2016/09/17","false","http://ncode.syosetu.com/n5279bn/",""
"n3245bc","藤崎悠貴","八重鏡","122","2012/06/27","false","http://ncode.syosetu.com/n3245bc/",""
"n6768bf","埴輪星人","フェアリーテイル・クロニクル　〜空気読まない異世界ライフ〜","235","2018/10/27 07:00","true","http://ncode.syosetu.com/n6768bf/",""
"n4328bx","相野仁","はいそっ","114","2018/07/24 19:39","true","http://ncode.syosetu.com/n4328bx/",""
"n6530bk","飛鳥けい","ライオットグラスパー 〜異世界でスキル盗ってます〜（旧：異世界で盗賊やってます）","144","2017/12/24 07:00","true","http://ncode.syosetu.com/n6530bk/",""
"n9078bd","ウスバー","この世界がゲームだと俺だけが知っている","242","2018/04/04 00:00","true","http://ncode.syosetu.com/n9078bd/",""
"n7971cg","ぞみんご","勇者の活躍(?)の裏側で生活してます・後日譚","20","2015/12/30","false","http://ncode.syosetu.com/n7971cg/",""
"n9669bk","理不尽な孫の手","無職転生　- 異世界行ったら本気だす -","286","2015/04/03","false","http://ncode.syosetu.com/n9669bk/",""
"n2273dh","灯台","勇者召喚に巻き込まれたけど、異世界は平和でした","660","2018/11/18 18:29","true","http://ncode.syosetu.com/n2273dh/",""
"n9308cs","三木なずな","異世界JKリフレ","13","2015/07/07","false","http://ncode.syosetu.com/n9308cs/",""
"n7975cr","馬場翁","蜘蛛ですが、なにか？","554","2018/11/12 23:19","true","http://ncode.syosetu.com/n7975cr/",""
"n8725k","橙乃ままれ","ログ・ホライズン","134","2018/03/25 20:00","true","http://ncode.syosetu.com/n8725k/",""
"n0442cd","温泉卵","我にチートを","142","2018/10/31 20:43","true","http://novel18.syosetu.com/n0442cd/",""
"n5214bb","サイトウアユム","クロの戦記","141","2018/11/07 16:04","true","http://ncode.syosetu.com/n5214bb/",""
"n4249cq","もちもち物質","乙女ゲームでジェノサイド！","42","2015/06/21","false","http://ncode.syosetu.com/n4249cq/",""
"n7433cu","霜月緋色（ステロイド使用中）","普通のおっさんだけど、神さまからもらった能力で異世界を旅してくる。疲れたら転移魔法で自宅に帰る。","161","2018/11/04 23:00","true","http://ncode.syosetu.com/n7433cu/",""
"n1247p","Ceez","リアデイルの大地にて","73","2013/01/01","false","http://ncode.syosetu.com/n1247p/",""
"n6316bn","伏瀬","転生したらスライムだった件","303","2016/01/01","false","http://ncode.syosetu.com/n6316bn/",""
"n6146bq","国後要","だらり異世界生活記","128","2013/08/05","false","http://ncode.syosetu.com/n6146bq/",""
"n0273bk","テレポート","娼館戦記　地獄の沙汰も金次第","42","2013/09/08","false","http://ncode.syosetu.com/n0273bk/",""
"n1883bo","リーア","異世界で〇フォイ","405","2016/03/05","false","http://ncode.syosetu.com/n1883bo/",""
"n0153df","花☆KO","姫騎士が日本にやってきた","26","2016/09/2600:32","false","http://ncode.syosetu.com/n0153df/",""
"n8658cs","もちもち物質","本日の空は","14","2015/07/05","false","http://ncode.syosetu.com/n8658cs/",""
"n6169bb","涼風","悪役令嬢後宮物語","128","2016/02/1409:00","false","http://ncode.syosetu.com/n6169bb/",""
"n7940cn","CK","没落予定なので、鍛治職人を目指す","60","2016/08/27","false","http://ncode.syosetu.com/n7940cn/",""
"n1483cl","もちもち物質","メイドは進むよ番外編！","46","2015/04/26","false","http://ncode.syosetu.com/n1483cl/",""
"n0122ci","もちもち物質","メイドは進むよどこまでも！","179","2015/10/05","false","http://ncode.syosetu.com/n0122ci/",""
"n9902bn","愛七ひろ","デスマーチからはじまる異世界狂想曲（ web版 ）","606","2018/11/18 18:00","true","http://ncode.syosetu.com/n9902bn/",""
"n9231bp","日々花長春","異世界混浴物語","163","2018/11/16 18:00","true","http://ncode.syosetu.com/n9231bp/",""
"n7226dp","坂東太郎","【IFルート】10年ごしの引きニートを辞めて外出したら自宅ごと異世界に転移してた【集団トリップ】","169","2018/07/28 18:00","true","http://ncode.syosetu.com/n7226dp/",""
"n7298cu","きなこ軍曹","聖女の回復魔法がどう見ても俺の劣化版な件について。","76","2015/10/09","false","http://ncode.syosetu.com/n7298cu/",""
"n4365be","ぞみんご","勇者の活躍(?)の裏側で生活してます","206","2014/01/13","false","http://ncode.syosetu.com/n4365be/",""
"n2808cr","佐崎一路","ブタクサ姫あんぷらぐど","9","2016/01/01","false","http://ncode.syosetu.com/n2808cr/",""
"n7648bn","秋ぎつね","マギクラフト・マイスター","2070","2018/11/18 12:00","true","http://ncode.syosetu.com/n7648bn/",""
"n0977dc","ウスバー","猫耳猫・外伝集","6","2016/01/3019:00","false","http://ncode.syosetu.com/n0977dc/",""
"n6144cu","もちもち物質","嘘で世界を救いたい！","158","2016/01/24","false","http://ncode.syosetu.com/n6144cu/",""
"n5705ch","月夜涙（るい）","エルフ転生からのチート建国記","99","2015/12/04","false","http://ncode.syosetu.com/n5705ch/",""
"n7500bd","内田健","異世界チート魔術師（マジシャン）","115","2015/09/28","false","http://ncode.syosetu.com/n7500bd/",""
"n4259s","蘇我捨恥","異世界迷宮で奴隷ハーレムを","222","2018/10/24 20:00","true","http://ncode.syosetu.com/n4259s/",""
"n2872bw","明鏡シスイ","軍オタが魔法世界に転生したら、現代兵器で軍隊ハーレムを作っちゃいました！？","424","2016/09/19","false","http://ncode.syosetu.com/n2872bw/",""
"n0744bf","相野仁","ネクストライフ","178","2015/05/18","false","http://ncode.syosetu.com/n0744bf/",""
"n2567bx","リーア","ドキッ、妖怪だらけのダンジョン経営","163","2015/05/17","false","http://ncode.syosetu.com/n2567bx/",""
"n2710db","江口連","とんでもスキルで異世界放浪メシ","445","2018/11/12 22:14","true","http://ncode.syosetu.com/n2710db/",""
"n4202cb","棚花尋平","用務員さんは勇者じゃありませんので","144","2018/08/27 23:08","true","http://ncode.syosetu.com/n4202cb/",""
"n2959bs","水星","勇者パーティーにかわいい子がいたので、告白してみた。","250","2018/10/27 21:50","true","http://ncode.syosetu.com/n2959bs/",""
"n3289ds","内藤騎之介","異世界のんびり農家","513","2018/11/08 14:59","true","http://ncode.syosetu.com/n3289ds/",""
"n7863bx","秋ぎつね","マギクラフト・マイスター　スピンオフ","10","2016/01/04","false","http://ncode.syosetu.com/n7863bx/",""
"n6978ey","ケンゼン","ゴブリンだけど自分ちょっと異端なんで、くっ殺騎士たちと建国しちゃっていいですか？ R-18","38","2018/11/19 03:01","true","http://novel18.syosetu.com/n6978ey/",""
"n5691dd","藤孝剛志","即死チートが最強すぎて、異世界のやつらがまるで相手にならないんですが。","126","2018/11/14 22:44","true","http://ncode.syosetu.com/n5691dd/",""
"n9079bs","国後要","帰ってくるのがはえーよ！　だらり現代生活記","107","2015/05/30","false","http://ncode.syosetu.com/n9079bs/",""
"n6332bx","まいん","二度目の人生を異世界で","404","2018/05/21 12:00","true","http://ncode.syosetu.com/n6332bx/",""
"n4613bt","おきょう","竜の卵を拾いまして","150","2016/12/1315:16","false","http://ncode.syosetu.com/n4613bt/",""
"n3250cl","わい／三嶋与夢","セブンス","345","2015/12/06","false","http://ncode.syosetu.com/n3250cl/",""
"n9124bs","七瀬優","異世界に飛ばされた俺は奴隷調教師になっていた","199","2016/06/06","false","http://ncode.syosetu.com/n9124bs/",""
"n6159cl","まいん","ある魔術師の手慰み迷宮行","200","2015/12/17 12:00","false","http://ncode.syosetu.com/n6159cl/",""
"n2267be","鼠色猫/長月達平","Ｒｅ：ゼロから始める異世界生活","468","2018/11/04 01:00","true","http://ncode.syosetu.com/n2267be/",""
